АЗС,Лучшая модель,MAPE
3319,SARIMAX,4.689
1920,HoltWinters,4.695
133614,RandomForest,4.702
133530,HoltWinters,4.717
3163,HoltWinters,4.725
136941,HoltWinters,4.736
136812,HoltWinters,4.739
2735,RandomForest,4.745
133789,SARIMAX,4.755
4260,HoltWinters,4.772
135022,RandomForest,4.778
133621,SARIMAX,4.78
39601,HoltWinters,4.782
136880,HoltWinters,4.785
134055,RandomForest,4.79
125614,RandomForest,4.79
133786,HoltWinters,4.791
8664,HoltWinters,4.795
9719,SARIMAX,4.795
133451,HoltWinters,4.8
125610,RandomForest,4.806
155136,SARIMAX,4.809
133794,SARIMAX,4.812
1254,HoltWinters,4.814
3175,HoltWinters,4.815
1955,SARIMAX,4.816
133670,SARIMAX,4.824
133241,SARIMAX,4.827
133529,HoltWinters,4.832
155100,RandomForest,4.842
133626,RandomForest,4.847
57401,RandomForest,4.85
133616,RandomForest,4.854
3729,SARIMAX,4.854
1890,HoltWinters,4.865
2654,RandomForest,4.882
6416,HoltWinters,4.885
134163,HoltWinters,4.897
3322,RandomForest,4.902
133699,SARIMAX,4.906
7066,SARIMAX,4.906
136875,SARIMAX,4.909
3174,RandomForest,4.912
9317,HoltWinters,4.915
3177,SARIMAX,4.916
5030,RandomForest,4.917
133525,SARIMAX,4.924
133372,HoltWinters,4.925
6433,HoltWinters,4.926
5058,HoltWinters,4.93
133363,RandomForest,4.935
2890,SARIMAX,4.939
1874,HoltWinters,4.942
8782,RandomForest,4.943
155048,SARIMAX,4.945
133240,HoltWinters,4.948
136909,HoltWinters,4.956
133655,RandomForest,4.956
133607,HoltWinters,4.971
3760,HoltWinters,4.972
141801,RandomForest,4.974
3352,SARIMAX,4.982
153001,SARIMAX,4.983
3325,SARIMAX,4.983
9720,RandomForest,4.986
69201,HoltWinters,4.99
3311,RandomForest,4.993
127802,HoltWinters,4.994
166003,SARIMAX,4.999
156401,SARIMAX,5.001
155070,HoltWinters,5.003
3023,HoltWinters,5.007
2609,SARIMAX,5.007
136912,SARIMAX,5.011
133698,SARIMAX,5.016
133276,RandomForest,5.02
135055,RandomForest,5.026
133442,SARIMAX,5.029
134004,RandomForest,5.032
1897,HoltWinters,5.037
123002,RandomForest,5.044
39208,SARIMAX,5.051
2911,SARIMAX,5.068
1756,SARIMAX,5.078
3339,SARIMAX,5.081
133295,RandomForest,5.082
133678,SARIMAX,5.088
136904,HoltWinters,5.091
133619,RandomForest,5.095
133679,SARIMAX,5.101
54403,RandomForest,5.107
133601,SARIMAX,5.107
133765,HoltWinters,5.111
3366,RandomForest,5.116
161801,RandomForest,5.128
9379,HoltWinters,5.13
3139,SARIMAX,5.131
133632,SARIMAX,5.137
133712,HoltWinters,5.145
1081,SARIMAX,5.146
6429,RandomForest,5.149
3811,SARIMAX,5.156
160067,RandomForest,5.162
3314,HoltWinters,5.165
139202,RandomForest,5.165
133714,RandomForest,5.169
2999,HoltWinters,5.173
133527,HoltWinters,5.174
133292,RandomForest,5.176
135002,RandomForest,5.184
133630,HoltWinters,5.185
6479,RandomForest,5.187
99602,SARIMAX,5.189
84802,RandomForest,5.192
9354,RandomForest,5.203
2326,RandomForest,5.208
155084,HoltWinters,5.209
1908,HoltWinters,5.209
3415,HoltWinters,5.212
2882,SARIMAX,5.214
1255,RandomForest,5.214
1918,RandomForest,5.22
133778,SARIMAX,5.221
133644,SARIMAX,5.222
3346,HoltWinters,5.223
9309,RandomForest,5.225
44001,RandomForest,5.227
1888,HoltWinters,5.247
3807,RandomForest,5.25
9353,RandomForest,5.251
44002,RandomForest,5.267
3394,HoltWinters,5.268
2612,RandomForest,5.269
133534,RandomForest,5.274
5091,HoltWinters,5.279
3220,SARIMAX,5.279
133671,RandomForest,5.283
136876,RandomForest,5.287
9346,HoltWinters,5.305
1071,SARIMAX,5.307
2988,RandomForest,5.309
155073,RandomForest,5.311
133515,RandomForest,5.314
8754,RandomForest,5.32
7283,SARIMAX,5.325
3374,RandomForest,5.331
125649,HoltWinters,5.337
3222,SARIMAX,5.344
133673,SARIMAX,5.348
1781,HoltWinters,5.35
3208,HoltWinters,5.359
3145,RandomForest,5.373
125656,HoltWinters,5.378
3369,RandomForest,5.379
133615,RandomForest,5.379
133352,RandomForest,5.392
1914,HoltWinters,5.399
135026,SARIMAX,5.403
5048,RandomForest,5.409
155087,SARIMAX,5.413
153812,RandomForest,5.415
3836,HoltWinters,5.432
118601,SARIMAX,5.439
155001,HoltWinters,5.439
125611,RandomForest,5.443
3341,RandomForest,5.445
134057,RandomForest,5.447
133394,SARIMAX,5.447
133640,RandomForest,5.456
3734,RandomForest,5.458
2707,HoltWinters,5.461
160020,RandomForest,5.462
134021,RandomForest,5.462
133791,RandomForest,5.464
9086,HoltWinters,5.465
3361,SARIMAX,5.465
5042,RandomForest,5.471
133232,HoltWinters,5.477
76802,HoltWinters,5.479
63803,HoltWinters,5.482
3155,HoltWinters,5.488
2177,RandomForest,5.494
2192,RandomForest,5.495
3347,SARIMAX,5.498
133610,SARIMAX,5.501
8727,HoltWinters,5.505
155108,SARIMAX,5.506
5024,SARIMAX,5.509
160064,HoltWinters,5.51
133357,SARIMAX,5.512
137001,SARIMAX,5.513
5088,SARIMAX,5.513
3332,HoltWinters,5.52
5045,RandomForest,5.526
133782,RandomForest,5.529
65603,RandomForest,5.53
133289,HoltWinters,5.536
89402,SARIMAX,5.538
133652,HoltWinters,5.541
133720,HoltWinters,5.546
92201,HoltWinters,5.551
133777,RandomForest,5.552
133603,SARIMAX,5.554
3756,RandomForest,5.564
2912,RandomForest,5.566
2660,HoltWinters,5.58
3338,HoltWinters,5.581
1777,HoltWinters,5.584
3048,HoltWinters,5.585
5005,RandomForest,5.597
133783,HoltWinters,5.597
8932,HoltWinters,5.597
3817,RandomForest,5.602
133458,RandomForest,5.603
133379,HoltWinters,5.612
3049,HoltWinters,5.614
66202,HoltWinters,5.615
133721,RandomForest,5.622
125607,HoltWinters,5.622
2828,HoltWinters,5.624
1907,HoltWinters,5.624
2226,HoltWinters,5.631
133663,SARIMAX,5.636
3216,SARIMAX,5.636
135012,HoltWinters,5.64
125609,HoltWinters,5.642
3749,HoltWinters,5.644
133376,RandomForest,5.646
3396,SARIMAX,5.648
134147,RandomForest,5.648
3213,RandomForest,5.649
125636,HoltWinters,5.65
9430,SARIMAX,5.655
133311,HoltWinters,5.656
163410,HoltWinters,5.662
7315,RandomForest,5.666
91401,SARIMAX,5.676
155065,RandomForest,5.683
3329,RandomForest,5.691
1260,HoltWinters,5.691
4178,HoltWinters,5.692
3137,RandomForest,5.694
60604,HoltWinters,5.696
1256,HoltWinters,5.696
2903,SARIMAX,5.716
9516,RandomForest,5.719
133735,HoltWinters,5.72
78602,HoltWinters,5.73
1252,RandomForest,5.741
1106,RandomForest,5.742
3818,SARIMAX,5.743
3206,RandomForest,5.747
3135,SARIMAX,5.748
133542,RandomForest,5.754
133490,RandomForest,5.774
133460,SARIMAX,5.774
2994,SARIMAX,5.777
3351,SARIMAX,5.78
133475,RandomForest,5.783
3763,SARIMAX,5.783
7146,SARIMAX,5.785
133575,SARIMAX,5.787
3215,SARIMAX,5.794
62404,SARIMAX,5.801
2873,SARIMAX,5.808
134176,RandomForest,5.811
134063,SARIMAX,5.812
7141,RandomForest,5.812
133570,SARIMAX,5.813
1257,RandomForest,5.819
155003,RandomForest,5.821
160045,HoltWinters,5.823
133321,SARIMAX,5.828
128201,RandomForest,5.846
145001,RandomForest,5.85
9340,SARIMAX,5.858
5027,RandomForest,5.86
160058,HoltWinters,5.86
136907,HoltWinters,5.861
2876,RandomForest,5.862
1957,HoltWinters,5.864
